,filename,guid,name,status,time_elapsed,error_message
0,AliveStatements,1,rfl,FAIL,1.859897,"tactic 'rfl' failed, the left-hand side
      PoisonOr.value (x✝ + x✝)
    is not definitionally equal to the right-hand side
      PoisonOr.poison
    case pos
    w : ℕ
    x✝ : BitVec w
    h✝ : 1#w ≥ ↑w
    ⊢ PoisonOr.value (x✝ + x✝) ⊑ PoisonOr.poison"
1,AliveStatements,1,bv_bitwise,FAIL,0.420863,"applyExtTheorem only applies to equations, not
      (PoisonOr.value (x✝ + x✝)).IsRefinedBy PoisonOr.poison"
2,AliveStatements,1,bv_ac,FAIL,20.304128,internal exception #5
3,AliveStatements,1,bv_distrib,FAIL,73.578546,internal exception #5
4,AliveStatements,1,bv_ring,FAIL,40.122613,internal exception #5
5,AliveStatements,1,bv_of_bool,FAIL,21.088917,simp made no progress
6,AliveStatements,1,bv_omega,FAIL,27.844362,"omega could not prove the goal:
    a possible counterexample may satisfy the constraints
      b ≥ 0
      b - c ≤ -1
      a ≥ 0
      a - b ≥ 0
      a - c ≤ -1
    where
     a := ↑1 % ↑(2 ^ w)
     b := ↑(↑w).toNat
     c := ↑2 ^ w"
7,AliveStatements,1,bv_automata_classic_prop,FAIL,22.340883,"expected predicate over bitvectors (no quantification), found:  
      PoisonOr.value (x✝ + x✝) ⊑ PoisonOr.poison"
8,AliveStatements,1,bv_automata_classic,FAIL,16.877529,"expected predicate over bitvectors (no quantification), found:  
      PoisonOr.value (x✝ + x✝) ⊑ PoisonOr.poison"
9,AliveStatements,1,bv_normalize_automata_classic,FAIL,30.509747,internal exception #5
10,AliveStatements,1,simp,FAIL,65.002616,internal exception #5
11,AliveStatements,1,bv_normalize,FAIL,11.80959,internal exception #5
12,AliveStatements,1,bv_decide,FAIL,76.157118,"The prover found a potentially spurious counterexample:
    - It abstracted the following unsupported expressions as opaque variables: [1#w <ᵤ BitVec.ofNat w w]
    Consider the following assignment:
    1#w <ᵤ BitVec.ofNat w w = false"
13,AliveStatements,1,bv_auto,FAIL,265.899219,internal exception #5
14,AliveStatements,1,bv_automata_circuit_lean_prop,FAIL,43.956088,"expected predicate over bitvectors (no quantification), found:  
      PoisonOr.value (x✝ + x✝) ⊑ PoisonOr.poison"
15,AliveStatements,1,bv_automata_circuit_lean,FAIL,9.580587,"expected predicate over bitvectors (no quantification), found:  
      PoisonOr.value (x✝ + x✝) ⊑ PoisonOr.poison"
16,AliveStatements,1,bv_normalize_automata_circuit_lean,FAIL,20.378256,internal exception #5
