,filename,guid,name,status,time_elapsed,error_message
0,AliveStatements,1,rfl,FAIL,16.787861,"tactic 'rfl' failed, the left-hand side
      (x✝ &&& x✝¹ ^^^ x✝¹) + 1#w + x✝²
    is not definitionally equal to the right-hand side
      x✝² - (x✝ ||| ~~~x✝¹)
    case some.some.some
    w : ℕ
    x✝² x✝¹ x✝ : BitVec w
    ⊢ (x✝ &&& x✝¹ ^^^ x✝¹) + 1#w + x✝² = x✝² - (x✝ ||| ~~~x✝¹)"
1,AliveStatements,1,bv_bitwise,FAIL,477.668429,internal exception #5
2,AliveStatements,1,bv_ac,FAIL,80.53383,internal exception #5
3,AliveStatements,1,bv_distrib,FAIL,385.56015,internal exception #5
4,AliveStatements,1,bv_ring,FAIL,405.581568,internal exception #5
5,AliveStatements,1,bv_of_bool,FAIL,82.085818,simp made no progress
6,AliveStatements,1,bv_omega,FAIL,22.877298,"omega could not prove the goal:
    a possible counterexample may satisfy the constraints
      b ≥ 0
      b - c ≤ -1
      a ≥ 0
      a - b ≥ 1
      a - c ≤ -1
    where
     a := ↑(x✝².toNat + (2 ^ w - (x✝ ||| ~~~x✝¹).toNat)) % ↑(2 ^ w)
     b := ↑(((x✝ &&& x✝¹ ^^^ x✝¹).toNat + 1 % 2 ^ w) % 2 ^ w + x✝².toNat) % ↑(2 ^ w)
     c := ↑2 ^ w"
7,AliveStatements,1,bv_automata_classic_prop,PASS,4096.432826,
8,AliveStatements,1,bv_automata_classic,PASS,17.862884,
9,AliveStatements,1,bv_normalize_automata_classic,PASS,92.766187,
10,AliveStatements,1,simp,FAIL,334.376454,simp made no progress
11,AliveStatements,1,bv_normalize,FAIL,45.068913,internal exception #5
12,AliveStatements,1,bv_decide,FAIL,103.6132,"The prover found a potentially spurious counterexample:
    - It abstracted the following unsupported expressions as opaque variables: [(x✝ &&& x✝¹ ^^^ x✝¹) + 1#w ==
       -~~~(~~~x✝ &&& x✝¹)]
    Consider the following assignment:
    (x✝ &&& x✝¹ ^^^ x✝¹) + 1#w == -~~~(~~~x✝ &&& x✝¹) = false"
13,AliveStatements,1,bv_auto,PASS,1239.951732,
14,AliveStatements,1,bv_automata_circuit_lean_prop,PASS,210.909477,
15,AliveStatements,1,bv_automata_circuit_lean,PASS,191.988229,
16,AliveStatements,1,bv_normalize_automata_circuit_lean,PASS,200.486743,
17,AliveStatements,1,bv_automata_circuit_cadical_prop,PASS,297.472382,
18,AliveStatements,1,bv_automata_circuit_cadical,PASS,260.219508,
19,AliveStatements,1,bv_normalize_automata_circuit_cadical,PASS,306.139365,
20,AliveStatements,1,bv_mba,FAIL,13.321477,"unable to reflect term '
      x✝ &&& x✝¹ ^^^ x✝¹'.
    Expected 'int * variable'."
21,AliveStatements,1,bv_normalize_mba,FAIL,37.165894,internal exception #5
22,AliveStatements,2,rfl,FAIL,6.442728,"tactic 'rfl' failed, the left-hand side
      x✝ + x✝¹
    is not definitionally equal to the right-hand side
      x✝ ^^^ x✝¹
    case some.some
    x✝¹ x✝ : BitVec 1
    ⊢ x✝ + x✝¹ = x✝ ^^^ x✝¹"
23,AliveStatements,2,bv_bitwise,PASS,10067.202349,
24,AliveStatements,2,bv_ac,FAIL,27.964562,internal exception #5
25,AliveStatements,2,bv_distrib,FAIL,102.434399,internal exception #5
26,AliveStatements,2,bv_ring,FAIL,111.418986,internal exception #5
27,AliveStatements,2,bv_of_bool,FAIL,20.777055,simp made no progress
28,AliveStatements,2,bv_omega,FAIL,10.321339,"omega could not prove the goal:
    a possible counterexample may satisfy the constraints
      0 ≤ c ≤ 1
      0 ≤ b ≤ 1
      0 ≤ b + c - 2*d ≤ 1
      0 ≤ a ≤ 1
      a - b - c + 2*d ≥ 1
    where
     a := ↑(x✝ ^^^ x✝¹).toNat
     b := ↑x✝.toNat
     c := ↑x✝¹.toNat
     d := ↑(x✝.toNat + x✝¹.toNat) / 2"
29,AliveStatements,2,bv_automata_classic_prop,FAIL,21.51058,"tactic 'bv_automata_circuit' evaluated that the proposition
      Lean.reduceBool
          (decide
            (formulaIsUniversal
                (AutoStructs.formula_of_predicate
                  (Copy.Predicate.binary Copy.BinaryPredicate.eq ((Copy.Term.var 0).add (Copy.Term.var 1))
                    ((Copy.Term.var 0).xor (Copy.Term.var 1)))) =
              true)) =
        true
    is false"
30,AliveStatements,2,bv_automata_classic,FAIL,7.378306,"tactic 'bv_automata_circuit' evaluated that the proposition
      Lean.reduceBool
          (decide
            (formulaIsUniversal
                (AutoStructs.formula_of_predicate
                  (Copy.Predicate.binary Copy.BinaryPredicate.eq ((Copy.Term.var 0).add (Copy.Term.var 1))
                    ((Copy.Term.var 0).xor (Copy.Term.var 1)))) =
              true)) =
        true
    is false"
31,AliveStatements,2,bv_normalize_automata_classic,PASS,4.752599,
32,AliveStatements,2,simp,FAIL,85.559906,simp made no progress
33,AliveStatements,2,bv_normalize,PASS,6.223793,
34,AliveStatements,2,bv_decide,PASS,4.499229,
35,AliveStatements,2,bv_auto,PASS,199.601252,
36,AliveStatements,2,bv_automata_circuit_lean_prop,FAIL,22.234078,"tactic 'bv_automata_circuit' evaluated that the proposition
      Lean.reduceBool
          (decide
            (∀ (w : ℕ) (vars : List BitStream),
              (Predicate.eq ((Term.var 0).add (Term.var 1)) ((Term.var 0).xor (Term.var 1))).eval vars w = false)) =
        true
    is false"
37,AliveStatements,2,bv_automata_circuit_lean,FAIL,7.541623,"tactic 'bv_automata_circuit' evaluated that the proposition
      Lean.reduceBool
          (decide
            (∀ (w : ℕ) (vars : List BitStream),
              (Predicate.eq ((Term.var 0).add (Term.var 1)) ((Term.var 0).xor (Term.var 1))).eval vars w = false)) =
        true
    is false"
38,AliveStatements,2,bv_normalize_automata_circuit_lean,PASS,4.662922,
39,AliveStatements,2,bv_automata_circuit_cadical_prop,PASS,268.568235,
40,AliveStatements,2,bv_automata_circuit_cadical,PASS,248.445137,
41,AliveStatements,2,bv_normalize_automata_circuit_cadical,PASS,6.923574,
42,AliveStatements,2,bv_mba,FAIL,4.161214,"unable to reflect term '
      x✝'.
    Expected 'int * variable'."
43,AliveStatements,2,bv_normalize_mba,PASS,4.576006,
44,AliveStatements,3,rfl,FAIL,0.984355,"tactic 'rfl' failed, the left-hand side
      some (x✝ + x✝)
    is not definitionally equal to the right-hand side
      none
    case pos
    w : ℕ
    x✝ : BitVec w
    h✝ : 1#w ≥ ↑w
    ⊢ some (x✝ + x✝) ⊑ none"
45,AliveStatements,3,bv_bitwise,FAIL,0.12923,"applyExtTheorem only applies to equations, not
      some (x✝ + x✝) ⊑ none"
46,AliveStatements,3,bv_ac,FAIL,27.02515,internal exception #5
47,AliveStatements,3,bv_distrib,FAIL,63.136665,internal exception #5
48,AliveStatements,3,bv_ring,FAIL,224.136452,internal exception #5
49,AliveStatements,3,bv_of_bool,FAIL,22.381123,simp made no progress
50,AliveStatements,3,bv_omega,FAIL,23.989217,"omega could not prove the goal:
    a possible counterexample may satisfy the constraints
      b ≥ 0
      b - c ≤ -1
      a ≥ 0
      a - b ≥ 0
      a - c ≤ -1
    where
     a := ↑1 % ↑(2 ^ w)
     b := ↑(↑w).toNat
     c := ↑2 ^ w"
51,AliveStatements,3,bv_automata_classic_prop,FAIL,14.534224,"expected predicate over bitvectors (no quantification), found:  
      some (x✝ + x✝) ⊑ none"
52,AliveStatements,3,bv_automata_classic,FAIL,3.45706,"expected predicate over bitvectors (no quantification), found:  
      some (x✝ + x✝) ⊑ none"
53,AliveStatements,3,bv_normalize_automata_classic,FAIL,17.584954,internal exception #5
54,AliveStatements,3,simp,FAIL,56.734312,simp made no progress
55,AliveStatements,3,bv_normalize,FAIL,14.48809,internal exception #5
56,AliveStatements,3,bv_decide,FAIL,73.910868,"The prover found a potentially spurious counterexample:
    - It abstracted the following unsupported expressions as opaque variables: [1#w <ᵤ BitVec.ofNat w w]
    Consider the following assignment:
    1#w <ᵤ BitVec.ofNat w w = false"
57,AliveStatements,3,bv_auto,FAIL,452.366249,internal exception #5
58,AliveStatements,3,bv_automata_circuit_lean_prop,FAIL,20.612416,"expected predicate over bitvectors (no quantification), found:  
      some (x✝ + x✝) ⊑ none"
59,AliveStatements,3,bv_automata_circuit_lean,FAIL,5.003551,"expected predicate over bitvectors (no quantification), found:  
      some (x✝ + x✝) ⊑ none"
60,AliveStatements,3,bv_normalize_automata_circuit_lean,FAIL,24.338901,internal exception #5
61,AliveStatements,3,bv_automata_circuit_cadical_prop,FAIL,25.045566,"expected predicate over bitvectors (no quantification), found:  
      some (x✝ + x✝) ⊑ none"
62,AliveStatements,3,bv_automata_circuit_cadical,FAIL,8.02175,"expected predicate over bitvectors (no quantification), found:  
      some (x✝ + x✝) ⊑ none"
63,AliveStatements,3,bv_normalize_automata_circuit_cadical,FAIL,24.447542,internal exception #5
64,AliveStatements,3,bv_mba,FAIL,0.31942,"tactic 'apply' failed, failed to unify
      ?x = ?y
    with
      some (x✝ + x✝) ⊑ none
    case pos
    w : ℕ
    x✝ : BitVec w
    h✝ : 1#w ≥ ↑w
    ⊢ some (x✝ + x✝) ⊑ none"
65,AliveStatements,3,bv_normalize_mba,FAIL,14.728874,internal exception #5
66,AliveStatements,4,rfl,FAIL,18.750583,"tactic 'rfl' failed, the left-hand side
      x✝ + x✝
    is not definitionally equal to the right-hand side
      x✝ <<< 1#w
    case neg
    w : ℕ
    x✝ : BitVec w
    h✝ : ¬1#w ≥ ↑w
    ⊢ x✝ + x✝ = x✝ <<< 1#w"
